SEGID,BMP,EMP,PLANAREA,AADT2019,SUBAREAID,DISTANCE,CO_FIPS,F_AREA,CCSGROUP19,FACMANADJ,FAC_APR,FAC_AUG,FAC_DEC,FAC_FAL,FAC_FEB,FAC_FRI,FAC_JAN,FAC_JUL,FAC_JUN,FAC_MAR,FAC_MAX,FAC_MAXMO,FAC_MAY,FAC_MON,FAC_NOV,FAC_OCT,FAC_SAT,FAC_SEP,FAC_SPR,FAC_SUM,FAC_SUN,FAC_THU,FAC_TUE,FAC_WDAVG,FAC_WEAVG,FAC_WED,FAC_WEMAX,FAC_WIN
1232_001.3,1.297,1.804,Cache,14229.0,2,0.50723868967,5,Cache,COU,0,1.0142,1.0223,0.9907,1.0095,0.9705,1.145,0.9346,0.996,1.0222,0.9965,1.0245,5,1.0245,1.0545,0.9944,1.0103,0.8873,1.0238,1.0117,1.0135,0.6293,1.1063,1.0851,1.0946,0.7583,1.0925,0.8873,0.9653
1232_001.8,1.804,2.325,Cache,10592.0,2,0.515830583044,5,Cache,COU,0,1.0142,1.0223,0.9907,1.0095,0.9705,1.145,0.9346,0.996,1.0222,0.9965,1.0245,5,1.0245,1.0545,0.9944,1.0103,0.8873,1.0238,1.0117,1.0135,0.6293,1.1063,1.0851,1.0946,0.7583,1.0925,0.8873,0.9653
1232_002.3,2.325,2.842,Cache,10592.0,2,0.508326341472,5,Cache,COU,0,1.0142,1.0223,0.9907,1.0095,0.9705,1.145,0.9346,0.996,1.0222,0.9965,1.0245,5,1.0245,1.0545,0.9944,1.0103,0.8873,1.0238,1.0117,1.0135,0.6293,1.1063,1.0851,1.0946,0.7583,1.0925,0.8873,0.9653
1232_002.8,2.842,3.261,Cache,10592.0,2,0.411074903205,5,Cache,COU,0,1.0142,1.0223,0.9907,1.0095,0.9705,1.145,0.9346,0.996,1.0222,0.9965,1.0245,5,1.0245,1.0545,0.9944,1.0103,0.8873,1.0238,1.0117,1.0135,0.6293,1.1063,1.0851,1.0946,0.7583,1.0925,0.8873,0.9653
1232_003.3,3.261,3.954,Cache,1542.0,2,0.691668931272,5,Cache,COT,0,1.0146,1.0396,0.9616,1.0243,0.9471,1.1418,0.9024,1.01,1.0352,0.9888,1.0434,9,1.0278,1.0506,0.9936,1.0358,0.9245,1.0434,1.0104,1.0283,0.6061,1.1071,1.0813,1.0924,0.7653,1.0887,0.9245,0.937
1232_005.6,5.557,5.69,Cache,2712.0,2,0.133282665218,5,Cache,COS,0,1.0119,1.0724,0.9399,1.0324,0.8982,1.1558,0.86,1.0366,1.0636,0.9669,1.0724,8,1.0534,1.0517,0.9896,1.0468,0.8742,1.0607,1.0107,1.0575,0.6429,1.1132,1.0744,1.0918,0.7585,1.0878,0.8742,0.8994
1232_005.7,5.69,6.213,Cache,2712.0,2,0.777380194421,5,Cache,COT,0,1.0146,1.0396,0.9616,1.0243,0.9471,1.1418,0.9024,1.01,1.0352,0.9888,1.0434,9,1.0278,1.0506,0.9936,1.0358,0.9245,1.0434,1.0104,1.0283,0.6061,1.1071,1.0813,1.0924,0.7653,1.0887,0.9245,0.937
1234_000.0,0.0,0.265,Cache,0.0,2,0.26511281274,5,Cache,COU,0,1.0142,1.0223,0.9907,1.0095,0.9705,1.145,0.9346,0.996,1.0222,0.9965,1.0245,5,1.0245,1.0545,0.9944,1.0103,0.8873,1.0238,1.0117,1.0135,0.6293,1.1063,1.0851,1.0946,0.7583,1.0925,0.8873,0.9653
1234_000.3,0.265,0.799,Cache,0.0,2,0.532867577584,5,Cache,COU,0,1.0142,1.0223,0.9907,1.0095,0.9705,1.145,0.9346,0.996,1.0222,0.9965,1.0245,5,1.0245,1.0545,0.9944,1.0103,0.8873,1.0238,1.0117,1.0135,0.6293,1.1063,1.0851,1.0946,0.7583,1.0925,0.8873,0.9653
1234_000.8,0.799,0.927,Cache,0.0,2,0.127787229579,5,Cache,COU,0,1.0142,1.0223,0.9907,1.0095,0.9705,1.145,0.9346,0.996,1.0222,0.9965,1.0245,5,1.0245,1.0545,0.9944,1.0103,0.8873,1.0238,1.0117,1.0135,0.6293,1.1063,1.0851,1.0946,0.7583,1.0925,0.8873,0.9653
1236_000.0,0.0,0.271,Cache,6571.0,2,0.266909722648,5,Cache,COU,0,1.0142,1.0223,0.9907,1.0095,0.9705,1.145,0.9346,0.996,1.0222,0.9965,1.0245,5,1.0245,1.0545,0.9944,1.0103,0.8873,1.0238,1.0117,1.0135,0.6293,1.1063,1.0851,1.0946,0.7583,1.0925,0.8873,0.9653
1236_000.3,0.271,0.808,Cache,6571.0,2,0.529550592602,5,Cache,COU,0,1.0142,1.0223,0.9907,1.0095,0.9705,1.145,0.9346,0.996,1.0222,0.9965,1.0245,5,1.0245,1.0545,0.9944,1.0103,0.8873,1.0238,1.0117,1.0135,0.6293,1.1063,1.0851,1.0946,0.7583,1.0925,0.8873,0.9653
